code, marque, opérateur
208-01,Orange,Orange
208-02,Orange,Orange
208-03,MobiquiThings,MobiquiThings
208-04,Sisteer,Sisteer
208-05,Globalstar,Globalstar
208-06, NO_BRAND,Globalstar
208-07, NO_BRAND,Globalstar
208-08,Completel,SFR
208-09,SFR,SFR
208-10,SFR,SFR
208-11,SFR,SFR
208-12, NO_BRAND,Hewlett-Packard
208-13,SFR,SFR
208-14,RFF,RFF
208-15,Free,Free mobile
208-16,Free,Free mobile
208-17,Legos,Legos
208-18,Voxbone,Voxbone
208-19,Altitude,Altitude infrastructure
208-20,Bouygues Telecom,Bouygues Telecom
208-21,Bouygues Telecom,Bouygues Telecom
208-22,Transatel Mobile,Transatel
208-23,Virgin Mobile,Omea Telecom
208-24,MobiquiThings,MobiquiThings
208-25,Lycamobile,Lycamobile
208-26,NRJ Mobile,EI Telecom
208-27,Coriolis,Coriolis Télécom
208-28,Astrium SAS,Airbus defence and space
208-29,IMC,International Mobile Communication
208-30,Syma Mobile,Symacom
208-31,Vectone / Delight Mobile,Mundio Mobile
208-88,Bouygues,Bouygues Telecom
208-89, NO_BRAND,Fondation b-com
208-90,Association Images & Réseaux,Association Images & Réseaux
208-91,Orange,Orange,
208-92,Association Plate-forme Telecom, NO_BRAND
208-93,Thales,Thales communications
208-94,Halys,Halys
208-95,Orange,Orange
208-96,Axione,Axione
208-97, NO_BRAND,Thales communications
208-98,Air France,Air France
302-610,Bell Mobilitiy, Bell Mobilitiy
302-720,Roger Wireless, Rogers Communication
